SURVEY: CFA4p2
SNTYPE: 1
SNID: 2009le
IAUC:  2009le
IAUC:    UNKNOWN
RA:   32.321500  deg
DEC:    -22.587572  deg
MWEBV: 0.014 # MW E(B-V)
REDSHIFT_HELIO: 0.01740 +- 0.00050
REDSHIFT_CMB: 0.01665 +- 0.00048
VPEC: -198.786
VPEC_ERR: 250.000
HOSTGAL_LOGMASS: 10.452 +- 3.416
FILTERS: BVriJHKCFG
SEARCH_PEAKMJD: 55166.631
#==============================
NOBS: 63
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55153.3 CFA42-B VOID 13452.4 277.120 17.1780 0.0206
OBS: 55155.2 CFA42-B VOID 26133.6 446.885 16.4570 0.0171
OBS: 55157.2 CFA42-B VOID 40253.2 668.203 15.9880 0.0166
OBS: 55158.3 CFA42-B VOID 47774.9 788.286 15.8020 0.0165
OBS: 55160.2 CFA42-B VOID 55924.2 894.788 15.6310 0.0160
OBS: 55176.2 CFA42-B VOID 42520.7 790.885 15.9285 0.0186
OBS: 55182.1 CFA42-B VOID 23615.7 462.867 16.5670 0.0196
OBS: 55185.2 CFA42-B VOID 17881.4 371.932 16.8690 0.0208
OBS: 55155.1 CFA42-V VOID 28628.6 950.469 16.3580 0.0332
OBS: 55157.2 CFA42-V VOID 42540.2 5683.38 15.9280 0.1336
OBS: 55158.3 CFA42-V VOID 48887.7 1823.51 15.7770 0.0373
OBS: 55160.1 CFA42-V VOID 58183.5 4631.41 15.5880 0.0796
OBS: 55176.2 CFA42-V VOID 57279.7 2611.95 15.6050 0.0456
OBS: 55182.1 CFA42-V VOID 40850.7 2933.08 15.9720 0.0718
OBS: 55185.2 CFA42-V VOID 35220.9 3469.26 16.1330 0.0985
OBS: 55158.2 CFA42-r VOID 48217.0 3915.22 15.7920 0.0812
OBS: 55160.1 CFA42-r VOID 57650.1 5263.46 15.5980 0.0913
OBS: 55182.1 CFA42-r VOID 39737.4 600.035 16.0020 0.0151
OBS: 55185.2 CFA42-r VOID 38159.3 545.678 16.0460 0.0143
OBS: 55153.2 CFA42-i VOID 11989.5 171.449 17.3030 0.0143
OBS: 55155.1 CFA42-i VOID 23141.9 377.214 16.5890 0.0163
OBS: 55157.2 CFA42-i VOID 32538.7 462.049 16.2190 0.0142
OBS: 55158.2 CFA42-i VOID 36677.5 520.820 16.0890 0.0142
OBS: 55160.1 CFA42-i VOID 41266.7 635.508 15.9610 0.0154
OBS: 55176.2 CFA42-i VOID 27771.5 788.711 16.3910 0.0284
OBS: 55182.1 CFA42-i VOID 21359.9 303.311 16.6760 0.0142
OBS: 55185.2 CFA42-i VOID 22677.7 342.434 16.6110 0.0151
OBS: 55158.217 CfA-J/J VOID 51777.7480 5594.5060 0 0
OBS: 55159.238 CfA-J/J VOID 44993.6330 2451.3510 0 0
OBS: 55160.233 CfA-J/J VOID 46710.7270 2081.9800 0 0
OBS: 55161.232 CfA-J/J VOID 49828.1640 3631.8970 0 0
OBS: 55162.231 CfA-J/J VOID 53325.4360 2726.1080 0 0
OBS: 55170.226 CfA-J/J VOID 27666.2240 4975.3290 0 0
OBS: 55177.177 CfA-J/J VOID 29541.7150 9716.7460 0 0
OBS: 55182.158 CfA-J/J VOID 12143.5650 2019.4940 0 0
OBS: 55184.172 CfA-J/J VOID 9735.8430 2414.9100 0 0
OBS: 55159.238 CfA-H/H VOID 42412.2300 9612.2360 0 0
OBS: 55160.233 CfA-H/H VOID 36693.0530 8077.4620 0 0
OBS: 55161.232 CfA-H/H VOID 35542.8980 5151.7660 0 0
OBS: 55162.231 CfA-H/H VOID 39041.9250 5284.9180 0 0
OBS: 55170.226 CfA-H/H VOID 34360.8240 6056.4470 0 0
OBS: 55177.177 CfA-H/H VOID 45549.7120 7278.8220 0 0
OBS: 55182.158 CfA-H/H VOID 27833.1390 4614.1580 0 0
OBS: 55158.217 CfA-Ks/K VOID 36384.7910 7154.1850 0 0
OBS: 55159.238 CfA-Ks/K VOID 45986.6160 7924.5160 0 0
OBS: 55160.233 CfA-Ks/K VOID 47262.8410 7896.7250 0 0
OBS: 55161.232 CfA-Ks/K VOID 39459.7430 3464.7660 0 0
OBS: 55162.231 CfA-Ks/K VOID 34137.9220 10576.4480 0 0
OBS: 55170.226 CfA-Ks/K VOID 38829.5270 7074.9000 0 0
OBS: 55182.158 CfA-Ks/K VOID 35366.8690 3210.9490 0 0
OBS: 55184.172 CfA-Ks/K VOID 36915.3600 7077.3180 0 0
OBS: 55153.030 CSP-Y_RC/C VOID 15488.1700 299.5700 0 0
OBS: 55153.040 CSP-Y_RC/C VOID 16128.7200 311.9600 0 0
OBS: 55154.200 CSP-Y_RC/C VOID 23356.0800 365.7000 0 0
OBS: 55154.210 CSP-Y_RC/C VOID 22993.2300 360.0200 0 0
OBS: 55153.030 CSP-J_RC2/F VOID 17832.0000 312.0500 0 0
OBS: 55153.040 CSP-J_RC2/F VOID 18180.2600 351.6400 0 0
OBS: 55154.200 CSP-J_RC2/F VOID 25656.6500 283.5700 0 0
OBS: 55154.210 CSP-J_RC2/F VOID 26546.0600 342.3000 0 0
OBS: 55153.030 CSP-H_RC/G VOID 15417.0000 780.9800 0 0
OBS: 55153.040 CSP-H_RC/G VOID 16966.8000 890.7400 0 0
OBS: 55154.200 CSP-H_RC/G VOID 21757.0500 881.7200 0 0
OBS: 55154.210 CSP-H_RC/G VOID 21577.4400 794.9400 0 0
END_PHOTOMETRY:
END:
